date,geography,geography code,Rural Urban,Dwelling Type: All categories: Accommodation type; measures: Value,Dwelling Type: Unshared dwelling: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value,"Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value",Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value,Dwelling Type: Shared dwelling; measures: Value
2011,Hundleton BUA,W37000248,Total,174,174,172,129,30,13,0,0,0,0,2,0
2011,Rhoose BUA,W37000249,Total,2534,2534,2351,1208,752,391,151,134,9,8,32,0
2011,Llanidloes BUA,W37000250,Total,1416,1413,1116,343,341,432,295,217,35,43,2,3
2011,Aberaeron BUA,W37000251,Total,732,732,584,195,149,240,146,92,29,25,2,0
2011,Hook (Pembrokeshire) BUA,W37000252,Total,330,330,327,231,85,11,3,3,0,0,0,0
2011,Crymych BUA,W37000253,Total,292,290,273,127,87,59,16,3,6,7,1,2
2011,Ferndale BUA,W37000254,Total,3260,3257,3018,134,376,2508,237,185,29,23,2,3
2011,Penrhiw-llan BUA,W37000255,Total,217,217,209,167,26,16,5,0,2,3,3,0
2011,Crynant BUA,W37000256,Total,724,724,583,147,316,120,141,137,3,1,0,0
2011,Amlwch BUA,W37000257,Total,1432,1432,1331,421,515,395,94,45,16,33,7,0
2011,Llanrwst BUA,W37000258,Total,1472,1472,1184,363,462,359,286,190,43,53,2,0
2011,Bonvilston BUA,W37000259,Total,158,158,151,119,19,13,7,4,2,1,0,0
2011,Tregaron BUA,W37000260,Total,565,565,543,319,148,76,19,2,9,8,3,0
2011,Ewenny BUA,W37000261,Total,309,309,303,224,68,11,6,0,3,3,0,0
2011,Clyro BUA,W37000262,Total,340,340,329,253,54,22,7,4,1,2,4,0
2011,New Brighton BUA,W37000263,Total,359,359,357,102,221,34,2,0,0,2,0,0
2011,Treuddyn BUA,W37000264,Total,563,563,555,265,246,44,4,2,2,0,4,0
2011,Aberdovey BUA,W37000265,Total,422,422,358,97,111,150,64,37,15,12,0,0
2011,Gwalchmai BUA,W37000266,Total,285,285,273,202,37,34,7,2,4,1,5,0
2011,Llangoed BUA,W37000267,Total,389,387,359,162,102,95,8,5,3,0,20,2
2011,Tanyfron BUA,W37000268,Total,893,893,718,235,260,223,172,166,5,1,3,0
2011,Goodwick BUA,W37000269,Total,769,769,710,213,297,200,59,25,18,16,0,0
2011,Penparc BUA,W37000270,Total,233,233,218,154,58,6,13,13,0,0,2,0
2011,Llangollen BUA,W37000271,Total,1578,1574,1293,495,402,396,278,225,20,33,3,4
2011,Tywyn BUA,W37000272,Total,1526,1523,1263,480,438,345,259,162,53,44,1,3
2011,Mold BUA,W37000273,Total,4313,4305,3813,1569,1642,602,491,402,41,48,1,8
2011,Morfa Bychan BUA,W37000274,Total,266,266,257,213,29,15,5,1,1,3,4,0
2011,Templeton BUA,W37000275,Total,273,273,267,189,62,16,6,5,1,0,0,0
2011,Llandinam BUA,W37000276,Total,246,246,238,145,69,24,5,0,4,1,3,0
2011,Bow Street BUA,W37000277,Total,640,640,584,251,240,93,54,43,10,1,2,0
2011,Roch BUA,W37000278,Total,201,201,199,138,59,2,1,0,1,0,1,0
2011,Lamphey BUA,W37000279,Total,274,274,270,185,66,19,2,1,1,0,2,0
2011,Jameston BUA,W37000280,Total,288,288,274,203,54,17,10,7,2,1,4,0
2011,Clarbeston Road BUA,W37000281,Total,134,134,134,53,69,12,0,0,0,0,0,0
2011,Solva BUA,W37000282,Total,328,328,317,124,108,85,11,5,1,5,0,0
2011,Bettws BUA,W37000283,Total,884,884,825,93,560,172,58,53,3,2,1,0
2011,Cynwyd BUA,W37000284,Total,229,229,223,119,58,46,5,2,3,0,1,0
2011,Penysarn BUA,W37000285,Total,261,261,250,148,59,43,11,1,8,2,0,0
2011,Bodedern BUA,W37000286,Total,443,443,439,217,104,118,3,2,1,0,1,0
2011,Pont Henri BUA,W37000287,Total,436,436,401,84,213,104,34,32,2,0,1,0
2011,Nefyn BUA,W37000288,Total,618,618,595,238,175,182,18,8,6,4,5,0
2011,Pen-y-ffordd BUA,W37000289,Total,306,306,302,102,125,75,4,1,3,0,0,0
2011,Llandeilo BUA,W37000290,Total,873,870,741,214,289,238,127,70,20,37,2,3
2011,Llanfair Pwllgwyngyll BUA,W37000291,Total,1270,1270,1217,694,299,224,52,41,6,5,1,0
2011,Marchwiel BUA,W37000292,Total,475,475,462,214,167,81,13,9,1,3,0,0
2011,Barmouth BUA,W37000293,Total,1146,1144,662,179,208,275,481,279,152,50,1,2
2011,New Quay BUA,W37000294,Total,355,355,323,100,79,144,31,8,15,8,1,0
2011,Porthcawl BUA,W37000295,Total,7005,6996,5790,2583,2340,867,1204,748,372,84,2,9
